topic,top_terms
Topic 1,"service, satisfait, client, cordialement, rapidité, tarif, remercie, conviennent, espère, téléphonique, tarifs, proposé"
Topic 2,"mois, contrat, sinistre, faire, ans, dossier, jamais, mutuelle, véhicule, alors, demande, réponse"
Topic 3,"assurance, direct, olivier, recommande, auto, voiture, bonne, habitation, vivement, véhicule, satisfait, vraiment"
Topic 4,"rapide, simple, efficace, pratique, site, facile, souscription, ligne, devis, utilisation, recommande, clair"
Topic 5,"satisfaite, écoute, tres, bon, bonne, accueil, recommande, téléphonique, services, agréable, tarifs, conseiller"
Topic 6,"prix, rapport, qualité, voir, bon, correct, garanties, niveau, conviennent, cas, reste, intéressant"
